activity_date,employee_id,facility_address,facility_city,facility_id,facility_name,facility_state,facility_zip,grade,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,score,serial_number,service_code,service_description,zip_five,grade_numeric,latitude,longitude
2017-01-04,EE0000258,2530 E AMAR RD,WEST COVINA,FA0177212,SALO SALO GRILL,CA,91792,A,OW0183171,MS FOOD SERVICES INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,SALO SALO GRILL,ACTIVE,PR0170175,90,DAN4R3UWC,1,ROUTINE INSPECTION,91792,4.0,34.0272667,-117.8980376
2017-01-17,EE0000822,7860 W SUNSET BLVD,LOS ANGELES,FA0225817,PACE JOINT RESTAURANT & MARKET,CA,90046-3309,A,OW0230038,A PACE JOINT CORPORATION,RESTAURANT (0-30) SEATS HIGH RISK,1632,PACE JOINT RESTAURANT & MARKET,ACTIVE,PR0181140,95,DADTXPE70,1,ROUTINE INSPECTION,90046,4.0,34.0979808,-118.3609311
2015-12-01,EE0000732,631 WILSHIRE BLVD STE E,SANTA MONICA,FA0179191,MENDOCINO FARMS,CA,90401-1501,A,OW0009183,"MENDOCINO FARMS, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,MENDOCINO FARMS,ACTIVE,PR0172749,100,DANHKG0JI,1,ROUTINE INSPECTION,90401,4.0,34.0412786,-118.4709553
2017-05-25,EE0000486,348 W 8TH ST,SAN PEDRO,FA0004823,A1 IMPORTED GROCERS,CA,90731,A,OW0036887,UNGARO EMIDDIO,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,A1 IMPORTED GROCERS,ACTIVE,PR0040919,90,DAY29KYIF,1,ROUTINE INSPECTION,90731,4.0,33.7371536,-118.2846331
2016-11-29,EE0000688,9429 TAMPA AVE,NORTHRIDGE,FA0009298,CLAIM JUMPER,CA,91324,A,OW0008306,"CLAIM JUMPER AQUISITION CO, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,CLAIM JUMPER,ACTIVE,PR0014038,91,DAN9VWELW,1,ROUTINE INSPECTION,91324,4.0,34.2414226,-118.5536693
2016-02-10,EE0000852,8111 VAN NUYS BLVD STE 104,PANORAMA CITY,FA0010644,DALETERIA YNEVERIA FLOR DE M,CA,91402,A,OW0004466,BERMUDEZ MARIO MARTINEZ,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DALETERIA YNEVERIA FLOR DE M,ACTIVE,PR0047850,90,DAQYAD04A,1,ROUTINE INSPECTION,91402,4.0,34.218232,-118.4488681
2017-01-10,EE0000520,5371 TOPANGA CANYON BLVD,WOODLAND HILLS,FA0021874,MONTY'S PRIME STEAKS & SEAFOOD,CA,91364,A,OW0021598,LEVINE LARRY,RESTAURANT (61-150) SEATS HIGH RISK,1638,MONTY'S PRIME STEAKS & SEA FOOD,ACTIVE,PR0020147,96,DANVDNUNY,1,ROUTINE INSPECTION,91364,4.0,34.1664829,-118.6060253
2016-05-26,EE0000242,5405 ROSEMEAD BLVD,TEMPLE CITY,FA0042619,OO KOOK KOREAN BBQ,CA,91780,A,OW0004138,BBQ WORLD INC.,RESTAURANT (151 + ) SEATS HIGH RISK,1641,OO KOOK KOREAN BBQ,INACTIVE,PR0033161,91,DAY6DP1IG,1,ROUTINE INSPECTION,91780,4.0,34.0975811,-118.0733541
2017-02-22,EE0000747,523 E SAN BERNARDINO RD,COVINA,FA0010165,COVINA BURGERS,CA,91723,A,OW0010059,DIEP LAM INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,COVINA BURGERS,ACTIVE,PR0014602,90,DAQCG09QW,1,ROUTINE INSPECTION,91723,4.0,33.73036,-116.29404
2016-07-19,EE0000965,2321 E FLORENCE AVE # 106,HUNTINGTON PARK,FA0179668,7-ELEVEN STORE 35006B,CA,90255,A,OW0185164,BOURHAI KALAN INC,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1614,7-ELEVEN STORE 35006B,ACTIVE,PR0173308,95,DAUTLKXLJ,1,ROUTINE INSPECTION,90255,4.0,33.9740233,-118.2234222
2017-02-15,EE0000747,210 S GLENDORA AVE,WEST COVINA,FA0052234,THE ROYAL LOUNGE,CA,91790,A,OW0028149,PELLERITO BOB,RESTAURANT (61-150) SEATS HIGH RISK,1638,THE ROYAL LOUNGE,ACTIVE,PR0022814,93,DA7ADG9DS,1,ROUTINE INSPECTION,91790,4.0,34.0700935,-117.9220644
2016-12-12,EE0001000,2729 W AVENUE L,LANCASTER,FA0050719,TACO BELL #22814,CA,93536,A,OW0006724,CENTURY FAST FOOD INC.,RESTAURANT (31-60) SEATS MODERATE RISK,1634,TACO BELL #22814,ACTIVE,PR0039860,97,DAE0YRRPZ,1,ROUTINE INSPECTION,93536,4.0,34.6607564,-118.1803013
2017-01-13,EE0000747,2033 DURFEE AVE,SOUTH EL MONTE,FA0041129,WINCHELLS DONUT HOUSE 865,CA,91733,A,OW0038486,WAT INTERNATIONAL INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WINCHELLS DONUT HOUSE 865,ACTIVE,PR0007849,96,DAVGW01PA,1,ROUTINE INSPECTION,91733,4.0,34.0461961,-118.0294025
2016-08-02,EE0000688,9545 RESEDA BLVD STE #6,NORTHRIDGE,FA0061297,EDIBLE ARRANGEMENTS,CA,91324,A,OW0032904,SILVER MOON ENTERPRISES INC,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,EDIBLE ARRANGEMENTS,ACTIVE,PR0043044,94,DAPHPDUNG,1,ROUTINE INSPECTION,91324,4.0,34.2437943,-118.5366754
2017-02-27,EE0000420,1131 S FREMONT AVE STE A,ALHAMBRA,FA0049512,STARBUCKS COFFEE #6794,CA,91803,A,OW0036965,URBAN COFFEE OPPORTUNITIES L,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS COFFEE,ACTIVE,PR0026962,95,DAHH6TVMR,1,ROUTINE INSPECTION,91803,4.0,34.0805455,-118.1522532
2017-05-03,EE0000401,1752 PACIFIC COAST HWY,LOMITA,FA0170230,CARL'S JR. #395,CA,90717,A,OW0178054,"BURGER BUDDIES, LLC",RESTAURANT (61-150) SEATS MODERATE RISK,1637,CARL'S JR. #395,ACTIVE,PR0160695,96,DAWXZMATB,1,ROUTINE INSPECTION,90717,4.0,33.7894837,-118.3088004
2017-02-02,EE0000871,5501 W PICO BLVD,LOS ANGELES,FA0015649,CJ COFFEE SHOP,CA,90019,A,OW0008176,"CISNEROS, JESSICA",RESTAURANT (31-60) SEATS HIGH RISK,1635,CJ COFFEE SHOP,ACTIVE,PR0009705,91,DASJSBQ00,1,ROUTINE INSPECTION,90019,4.0,34.0491887,-118.3585053
2015-10-26,EE0000688,19707 RINALDI ST,PORTER RANCH,FA0031193,JASMINE THAI CUISINE,CA,91326,A,OW0019838,KOLKE UBOLSIRI,RESTAURANT (61-150) SEATS HIGH RISK,1638,JASMINE THAI CUISINE,ACTIVE,PR0008315,90,DAKYIHR9T,1,ROUTINE INSPECTION,91326,4.0,34.2749053,-118.562444
2017-10-10,EE0000260,16200 E AMBER VALLEY DR,WHITTIER,FA0047972,SCU CAFE,CA,90604,A,OW0024763,MOK HEE S.,RESTAURANT (31-60) SEATS MODERATE RISK,1634,SCU CAFE,ACTIVE,PR0005893,97,DAQG0J8TO,1,ROUTINE INSPECTION,90604,4.0,33.9231784,-117.9833211
2016-07-06,EE0000516,11300 MAGNOLIA BLVD UNIT 1,NORTH HOLLYWOOD,FA0059343,CASITA TACO AL CARBON,CA,91601,A,OW0019259,"KIM, HAN SUNG",RESTAURANT (0-30) SEATS HIGH RISK,1632,CASITA TACO AL CARBON,ACTIVE,PR0010686,92,DAVKGCIQJ,1,ROUTINE INSPECTION,91601,4.0,34.164816,-118.377545
2016-09-15,EE0000145,11462 SOUTH ST,CERRITOS,FA0143631,YUZU SHABU & GRILL,CA,90703,A,OW0025764,NCC INTERNATIONAL LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,YAZU SHABU & GRILL,ACTIVE,PR0129558,95,DABS8CIX5,1,ROUTINE INSPECTION,90703,4.0,33.8583219,-118.0894378
2015-11-17,EE0000734,748 W RANCHO VISTA BLVD STE E,PALMDALE,FA0171214,PIZZA REV,CA,93551,A,OW0178311,PIE SQUARED PIZZA LLC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,PIZZA REV,ACTIVE,PR0161062,97,DAUTCPLVJ,1,ROUTINE INSPECTION,93551,4.0,35.124896,-117.966819
2017-03-21,EE0000145,12900 PARK PLAZA DR,CERRITOS,FA0041193,PARK PLAZA CAFE,CA,90703,A,OW0016274,"HONG, ESTHER CHOON BOK ET A",RESTAURANT (31-60) SEATS HIGH RISK,1635,PARK PLAZA CAFE,ACTIVE,PR0033477,97,DASTD9NLW,1,ROUTINE INSPECTION,90703,4.0,33.867594,-118.057905
2017-08-14,EE0000267,1320 W FRANCISQUITO AVE,WEST COVINA,FA0067693,NORTHGATE MARKET,CA,91790,A,OW0026268,NORTHGATE GONZALEZ LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,NORTHGATE MARKET- HOT FOODS,ACTIVE,PR0011944,93,DAIU0SLWA,1,ROUTINE INSPECTION,91790,4.0,34.0537839,-117.9541808
2017-11-04,EE0000726,7781 SANTA MONICA BLVD,WEST HOLLYWOOD,FA0067842,ODESSA GROCERY,CA,90046,A,OW0017103,"ISKHAKOV, ALEKSANDR","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,ODESSA GROCERY,ACTIVE,PR0000338,90,DAGVICWIJ,1,ROUTINE INSPECTION,90046,4.0,34.0908861,-118.3588564
2015-09-08,EE0000183,3520 E AVENUE M,PALMDALE,FA0141464,NORTHROP CAFETERIA S-3,CA,93550-7401,A,OW0104596,ARAMARK CORP.,RESTAURANT (61-150) SEATS HIGH RISK,1638,NORTHROP CAFETERIA S-3,ACTIVE,PR0128438,93,DAH00FIOF,1,ROUTINE INSPECTION,93550,4.0,34.6459311,-118.0680632
